Nigeria ;SUB-SAHARAN AFRICA                 ;131859731;923768;142,7;;;;;;
Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;9,9;;;;;;
Nicaragua ;LATIN AMER. & CARIB    ;5570129;129494;43,0;;;;;;
New Zealand ;OCEANIA                            ;4076140;268680;15,2;;;;;;
New Caledonia ;OCEANIA                            ;219246;19060;11,5;;;;;;
Netherlands Antilles ;LATIN AMER. & CARIB    ;221736;960;231,0;;;;;;
Netherlands ;WESTERN EUROPE                     ;16491461;41526;397,1;;;;;;
Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;192,2;;;;;;
Nauru ;OCEANIA                            ;13287;21;632,7;;;;;;
Namibia ;SUB-SAHARAN AFRICA                 ;2044147;825418;2,5;;;;;;
N. Mariana Islands ;OCEANIA                            ;82459;477;172,9;;;;;;
Mozambique ;SUB-SAHARAN AFRICA                 ;19686505;801590;24,6;;;;;;
Morocco ;NORTHERN AFRICA                    ;33241259;446550;74,4;;;;;;
Montserrat ;LATIN AMER. & CARIB    ;9439;102;92,5;;;;;;
Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;1,8;;;;;;
Monaco ;WESTERN EUROPE                     ;32543;2;16271,5;;;;;;
Moldova ;C.W. OF IND. STATES ;4466706;33843;132,0;;;;;;
Micronesia, Fed. St. ;OCEANIA                            ;108004;702;153,9;;;;;;
Mexico ;LATIN AMER. & CARIB    ;107449525;1972550;54,5;;;;;;
Mayotte ;SUB-SAHARAN AFRICA                 ;201234;374;538,1;;;;;;
Mauritius ;SUB-SAHARAN AFRICA                 ;1240827;2040;608,3;;;;;;
Mauritania ;SUB-SAHARAN AFRICA                 ;3177388;1030700;3,1;;;;;;
Martinique ;LATIN AMER. & CARIB    ;436131;1100;396,5;;;;;;
Marshall Islands ;OCEANIA                            ;60422;11854;5,1;;;;;;
Malta ;WESTERN EUROPE                     ;400214;316;1266,5;;;;;;
Mali ;SUB-SAHARAN AFRICA                 ;11716829;1240000;9,5;;;;;;
Maldives ;ASIA (EX. NEAR EAST)         ;359008;300;1196,7;;;;;;
Malaysia ;ASIA (EX. NEAR EAST)         ;24385858;329750;74,0;;;;;;
Malawi ;SUB-SAHARAN AFRICA                 ;13013926;118480;109,8;;;;;;
Madagascar ;SUB-SAHARAN AFRICA                 ;18595469;587040;31,7;;;;;;
Macedonia ;EASTERN EUROPE                     ;2050554;25333;80,9;;;;;;
Macau ;ASIA (EX. NEAR EAST)         ;453125;28;16183,0;;;;;;
Luxembourg ;WESTERN EUROPE                     ;474413;2586;183,5;;;;;;
Lithuania ;BALTICS                            ;3585906;65200;55,0;;;;;;
Liechtenstein ;WESTERN EUROPE                     ;33987;160;212,4;;;;;;
Libya ;NORTHERN AFRICA                    ;5900754;1759540;3,4;;;;;;
Liberia ;SUB-SAHARAN AFRICA                 ;3042004;111370;27,3;;;;;;
Lesotho ;SUB-SAHARAN AFRICA                 ;2022331;30355;66,6;;;;;;
Lebanon ;NEAR EAST                          ;3874050;10400;372,5;;;;;;
Latvia ;BALTICS                            ;2274735;64589;35,2;;;;;;
Laos ;ASIA (EX. NEAR EAST)         ;6368481;236800;26,9;;;;;;
Kyrgyzstan ;C.W. OF IND. STATES ;5213898;198500;26,3;;;;;;
Kuwait ;NEAR EAST                          ;2418393;17820;135,7;;;;;;
Korea, South ;ASIA (EX. NEAR EAST)         ;48846823;98480;496,0;;;;;;
Korea, North ;ASIA (EX. NEAR EAST)         ;23113019;120540;191,8;;;;;;
Kiribati ;OCEANIA                            ;105432;811;130,0;;;;;;
Kenya ;SUB-SAHARAN AFRICA                 ;34707817;582650;59,6;;;;;;
Kazakhstan ;C.W. OF IND. STATES ;15233244;2717300;5,6;;;;;;
Jordan ;NEAR EAST                          ;5906760;92300;64,0;;;;;;
Jersey ;WESTERN EUROPE                     ;91084;116;785,2;;;;;;
Japan ;ASIA (EX. NEAR EAST)         ;127463611;377835;337,4;;;;;;
Jamaica ;LATIN AMER. & CARIB    ;2758124;10991;250,9;;;;;;
Italy ;WESTERN EUROPE                     ;58133509;301230;193,0;;;;;;
Israel ;NEAR EAST                          ;6352117;20770;305,8;;;;;;
Isle of Man ;WESTERN EUROPE                     ;75441;572;131,9;;;;;;
Ireland ;WESTERN EUROPE                     ;4062235;70280;57,8;;;;;;
Iraq ;NEAR EAST                          ;26783383;437072;61,3;;;;;;
Iran ;ASIA (EX. NEAR EAST)         ;68688433;1648000;41,7;;;;;;
Indonesia ;ASIA (EX. NEAR EAST)         ;245452739;1919440;127,9;;;;;;
India ;ASIA (EX. NEAR EAST)         ;1095351995;3287590;333,2;;;;;;
Iceland ;WESTERN EUROPE                     ;299388;103000;2,9;;;;;;
Hungary ;EASTERN EUROPE                     ;9981334;93030;107,3;;;;;;
Hong Kong ;ASIA (EX. NEAR EAST)         ;6940432;1092;6355,7;;;;;;
Honduras ;LATIN AMER. & CARIB    ;7326496;112090;65,4;;;;;;
Haiti ;LATIN AMER. & CARIB    ;8308504;27750;299,4;;;;;;
Guyana ;LATIN AMER. & CARIB    ;767245;214970;3,6;;;;;;
Guinea-Bissau ;SUB-SAHARAN AFRICA                 ;1442029;36120;39,9;;;;;;
Guinea ;SUB-SAHARAN AFRICA                 ;9690222;245857;39,4;;;;;;
Guernsey ;WESTERN EUROPE                     ;65409;78;838,6;;;;;;
Guatemala ;LATIN AMER. & CARIB    ;12293545;108890;112,9;;;;;;
Guam ;OCEANIA                            ;171019;541;316,1;;;;;;
Guadeloupe ;LATIN AMER. & CARIB    ;452776;1780;254,4;;;;;;
Grenada ;LATIN AMER. & CARIB    ;89703;344;260,8;;;;;;
Greenland ;NORTHERN AMERICA                   ;56361;2166086;0,0;;;;;;
