Malawi ;SUB-SAHARAN AFRICA                 ;13013926;118480;109,8;;;;;;
Malaysia ;ASIA (EX. NEAR EAST)         ;24385858;329750;74,0;;;;;;
Maldives ;ASIA (EX. NEAR EAST)         ;359008;300;1196,7;;;;;;
Mali ;SUB-SAHARAN AFRICA                 ;11716829;1240000;9,5;;;;;;
Malta ;WESTERN EUROPE                     ;400214;316;1266,5;;;;;;
Marshall Islands ;OCEANIA                            ;60422;11854;5,1;;;;;;
Martinique ;LATIN AMER. & CARIB    ;436131;1100;396,5;;;;;;
Mauritania ;SUB-SAHARAN AFRICA                 ;3177388;1030700;3,1;;;;;;
Mauritius ;SUB-SAHARAN AFRICA                 ;1240827;2040;608,3;;;;;;
Mayotte ;SUB-SAHARAN AFRICA                 ;201234;374;538,1;;;;;;
Mexico ;LATIN AMER. & CARIB    ;107449525;1972550;54,5;;;;;;
Micronesia, Fed. St. ;OCEANIA                            ;108004;702;153,9;;;;;;
Moldova ;C.W. OF IND. STATES ;4466706;33843;132,0;;;;;;
Monaco ;WESTERN EUROPE                     ;32543;2;16271,5;;;;;;
Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;1,8;;;;;;
Montserrat ;LATIN AMER. & CARIB    ;9439;102;92,5;;;;;;
Morocco ;NORTHERN AFRICA                    ;33241259;446550;74,4;;;;;;
Mozambique ;SUB-SAHARAN AFRICA                 ;19686505;801590;24,6;;;;;;
N. Mariana Islands ;OCEANIA                            ;82459;477;172,9;;;;;;
Namibia ;SUB-SAHARAN AFRICA                 ;2044147;825418;2,5;;;;;;
Nauru ;OCEANIA                            ;13287;21;632,7;;;;;;
Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;192,2;;;;;;
Netherlands ;WESTERN EUROPE                     ;16491461;41526;397,1;;;;;;
Netherlands Antilles ;LATIN AMER. & CARIB    ;221736;960;231,0;;;;;;
New Caledonia ;OCEANIA                            ;219246;19060;11,5;;;;;;
New Zealand ;OCEANIA                            ;4076140;268680;15,2;;;;;;
Nicaragua ;LATIN AMER. & CARIB    ;5570129;129494;43,0;;;;;;
Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;9,9;;;;;;
Nigeria ;SUB-SAHARAN AFRICA                 ;131859731;923768;142,7;;;;;;
Norway ;WESTERN EUROPE                     ;4610820;323802;14,2;;;;;;
Oman ;NEAR EAST                          ;3102229;212460;14,6;;;;;;
Pakistan ;ASIA (EX. NEAR EAST)         ;165803560;803940;206,2;;;;;;
Palau ;OCEANIA                            ;20579;458;44,9;;;;;;
Panama ;LATIN AMER. & CARIB    ;3191319;78200;40,8;;;;;;
Papua New Guinea ;OCEANIA                            ;5670544;462840;12,3;;;;;;
Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;16,0;;;;;;
Peru ;LATIN AMER. & CARIB    ;28302603;1285220;22,0;;;;;;
Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;298,2;;;;;;
Poland ;EASTERN EUROPE                     ;38536869;312685;123,3;;;;;;
